filename,platform,version,ext_id,lib_id
sys-content.js,chrome,1.0.0,cdjpdjlokekafnomllclkadgpkeoboan,sha512-z4PhNX7vuL3xVChQ1m2AB9Yg5AULVxXcg_SpIdNs6c5H0NE8XYXysP_DGNKHfuwvY7kxvUdBeoGlODJ6_SfaPg__
background.js,chrome,1.0.0,cdjpdjlokekafnomllclkadgpkeoboan,sha512-ttRHEtlDf7ekIFemJsQWRQ8OpIloQ0kRDjOu7VrUjHvIz_1JsqE1bIJUQmGhrkR49CzogXEqCpUsoc_oq6sW8w__
content-sidebar.js,chrome,1.0.0,cdjpdjlokekafnomllclkadgpkeoboan,sha512-_yStRImMRgVHihNOGhqg_dwsHXArOGczawO4udwS_zxx_sS3hiqeTRp3gD_Y4XyzYMgVWi481Rqy_4CeCmmvvQ__
newtab-app.js,chrome,1.0.0,cdjpdjlokekafnomllclkadgpkeoboan,sha512-B0Hkw3xrrz48fKJsMySQUVuB1suO2N3q2EQgiuBA2POLQ2_4N6PiCTh8labnkzRO3j_rhvVilRxATsTPg8ggJw__
sys-content.js,chrome,1.1.0,bbeajjfechfkmcpfkadkkinnoocajejh,sha512-z4PhNX7vuL3xVChQ1m2AB9Yg5AULVxXcg_SpIdNs6c5H0NE8XYXysP_DGNKHfuwvY7kxvUdBeoGlODJ6_SfaPg__
background.js,chrome,1.1.0,bbeajjfechfkmcpfkadkkinnoocajejh,sha512-GjyLXalV9_QTGNC2rDK_IHVay0n_DwoJBBOxjxBDqt_bdu0HBcX5KB1oaq3xYJHkBCqfsDuZSleVXWzsdmROIQ__
content-sidebar.js,chrome,1.1.0,bbeajjfechfkmcpfkadkkinnoocajejh,sha512-d7D_I0OwJMhqBhM79ObRhBXromhDBvXRqwTfpT5gLxoQZv_xvTFif3ViVyFDE0Bl1ulr1S7RgzudrQQwEcVg9g__
newtab-app.js,chrome,1.1.0,bbeajjfechfkmcpfkadkkinnoocajejh,sha512-W7wGw3TYNX2c7Ipcdh77XM2HfZefI487NNKhUzv8mm1oYknZQnZF74lLToLDZA0kUC_G1aWoYMCcypgpJAxDhQ__
sys-content.js,chrome,1.0.0,djohalgopmjkmdebaghkammihjeleoan,sha512-z4PhNX7vuL3xVChQ1m2AB9Yg5AULVxXcg_SpIdNs6c5H0NE8XYXysP_DGNKHfuwvY7kxvUdBeoGlODJ6_SfaPg__
background.js,chrome,1.0.0,djohalgopmjkmdebaghkammihjeleoan,sha512-l_LurYKmIU4yVH0VeLBvLmSjkYttFo2pJWABgeWCdUVzkfhGeGD_NpV9PKQOpdO9zLvmEj5uj8Tk7ETK55n6_g__
